SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCF_010015735.1_Aaoar1,Aaosphaeria arxii CBS 175.79,CBS 175.79,PRJNA234399,1450172,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria arxii,fBU24
GCA_022813625.1_ASM2281362v1,Aaosphaeria pasadenensis,FJI-L9-BK-P1,PRJNA800051,3025424,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Aaosphaeria,Aaosphaeria pasadenensis,fOHC49
GCA_022606235.1_Abobie1,Abortiporus biennis,CIRM-BRFM 1778,PRJNA444028,137743,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis,fC8Q75
GCA_900079185.1_AG_v1,Absidia glauca,CBS 101.48 substr. RVII-324 met-,PRJEB13349,4829,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca,fFUN001
GCA_019677225.1_ASM1967722v1,Absidia healeyae,UoMAU1,PRJNA630489,2733465,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia healeyae,fHLH70
GCA_002105175.1_Absrep1,Absidia repens,NRRL 1336,PRJNA330702,90262,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens,fBCR42
GCA_019677255.1_ASM1967725v1,Absidia sp. UoMAU379,UoMAU379,PRJNA630491,2735258,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia sp. UoMAU379,fHLH72
GCF_003144295.1_Acain1,Acaromyces ingoldii,MCA 4198,PRJNA247834,215250,dikarya,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,fFA10
GCA_022814355.1_ASM2281435v1,Acarospora aff. strigata,T1882,PRJNA795879,2871812,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora aff. strigata,fMMC34
GCA_025617375.2_glAcaSoci1.1,Acarospora socialis,JNA_AS_CCGP158,PRJNA851476,1307805,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Acarospora,Acarospora socialis,fNG802
GCA_004114255.1_ASM411425v1,Acaulopage tetraceros,T-All,PRJNA451036,1172177,fungi,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Zoopagaceae,Acaulopage,Acaulopage tetraceros,fDCZ29
GCA_910592055.1_Acaulospora_colombiana_CL356,Acaulospora colombiana,CL356,PRJEB45340,27376,mucoromycota,Mucoromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora colombiana,fFUN002
GCA_910591835.1_Acaulospora_morrowiae_CL551,Acaulospora morrowiae,CL551,PRJEB45340,94023,mucoromycota,Mucoromycota,,Glomeromycetes,,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora morrowiae,fFUN003
GCA_014904845.1_Acema1,Acephala macrosclerotiorum,EW76-UTF0540,PRJNA334316,886606,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum,fBDZ45
GCA_031001845.1_ASM3100184v1,Achaetomiella virescens,148.68,PRJNA945858,1934374,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomiella,Achaetomiella virescens,fP3326
GCA_033296875.1_Achma1,Achaetomium macrosporum,CBS 532.94,PRJNA441724,79813,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Achaetomium,Achaetomium macrosporum,fC8A03
GCA_030579395.1_ASM3057939v1,Aciculoconidium aculeatum,NRRL YB-4298,PRJNA736342,43968,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Aciculoconidium,Aciculoconidium aculeatum,fFUN004
GCA_000222935.2_AciTa_1.0,Aciculosporium take MAFF-241224,MAFF-241224,PRJNA67241,1036760,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,fATAKE7993
GCA_019670975.1_ASM1967097v1,Acidiella bohemica,SYSU C17045,PRJNA725650,1176733,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica,fKFK34
GCA_003545705.1_ASM354570v1,Acidomyces sp. 'richmondensis',FRIK2901,PRJNA486357,245562,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',fD0N51
GCA_021347865.1_ASM2134786v1,Acremonium sp. CBMAI 1973,CBMAI 1973,PRJNA588795,2666182,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,,Acremonium,Acremonium sp. CBMAI 1973,fGJS31
GCA_020087035.1_ASM2008703v1,Acremonium sp. FKII-L8-BK-P5,FKII-L8-BK-P5,PRJNA644637,2778101,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,,Acremonium,Acremonium sp. FKII-L8-BK-P5,fICW40
GCA_028476805.1_ASM2847680v1,Acrocalymma vagum,A21,PRJNA921830,1589764,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Morosphaeriaceae,Acrocalymma,Acrocalymma vagum,fPE048
GCA_033807595.1_ASM3380759v1,Acrodontium crateriforme,169a,PRJNA1034788,150365,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium crateriforme,fSDZ99
GCA_016098155.1_UCR_MambBC1055_1.0,Actinomortierella ambigua,BC1065,PRJNA463334,1343610,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella ambigua,fDFQ27
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,Actinomortierella wolfii,NRRL 6351,PRJNA340479,90253,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Actinomortierella,Actinomortierella wolfii,fBGW41
GCA_026027325.1_ASM2602732v1,Actinomucor elegans,CJ-6,PRJNA848933,64647,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,fNFI83
GCA_004216415.1_S18-22,Aeminium ludgeri,E14,PRJNA520871,2518135,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Aeminiaceae,Aeminium,Aeminium ludgeri,fEWH38
GCA_038094355.1_BD703-Stobilomyces-lepidellus,Afroboletus lepidellus,UT-M0000099,PRJNA1022813,3095450,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Afroboletus,Afroboletus lepidellus,fFUN005
GCA_002718315.1_ASM271831v1,Agaricales sp. HM26-F1,HM26-F1,PRJNA388831,2607230,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,,,Agaricales sp. HM26-F1,fCDA53
GCA_000300575.2_ASM30057v2,Agaricus bisporus var. bisporus H97,H97,PRJNA61005,936046,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,fAGABI2
GCA_030246685.1_ASM3024668v1,Agaricus bitorquis,BH01,PRJNA946023,5343,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus bitorquis,fP3873
GCA_029719445.1_ASM2971944v1,Agaricus blazei,JA-15036,PRJNA532471,79798,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus blazei,fE7X87
GCA_022315185.1_ASM2231518v1,Agaricus sinodeliciosus,ZRL20160001-S65,PRJNA744025,1550288,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus sinodeliciosus,fKV147
GCA_029945375.1_Asub-V01,Agaricus subrufescens,ABL 49,PRJNA926637,87252,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens,fPL338
GCA_029232285.1_Ca_Agmasoma_carcini_1,Agmasoma sp. JBojko-2022a,v1,PRJNA888958,2984836,fungi,Microsporidia,,,,,Thelohaniidae,Agmasoma,Agmasoma sp. JBojko-2022a,fOF780
GCA_018343915.1_ASM1834391v1,Agroathelia rolfsii,GP3,PRJNA635225,39291,dikarya,Basidiomycota,,Agaricomycetes,,Amylocorticiales,Amylocorticiaceae,Agroathelia,Agroathelia rolfsii,fHQQ96
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,Agrocybe chaxingu,MP-N11,PRJNA855555,84603,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Agrocybe,Agrocybe chaxingu,fNLJ89
